secao,scenario_id,titulo,descricao,modo_alocacao,batalhoes_ativos,batalhao_metropolitano_escolhido,total_distance_km,average_distance_km,median_distance_km,p90_distance_km,max_distance_km,centralidade_operacional_km,compactacao_territorial_km,casos_fragmentados,municipios_redistribuidos,municipios_mantidos,ganho_total_vs_atual_km,ganhos_significativos,municipios_mal_alocados,distancias_criticas,percentual_manutencao_estrutura,municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo,chave,valor
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Pedra Branca,-5.454334,-39.715165,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,270.1844,126.4486,143.7358,sim,nao,"Pedra Branca foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Quixadá,-4.966301,-39.015474,cia_independente,batalhao,Russas,Quixadá,Quixadá,Quixadá,135.8695,0.0,135.8695,sim,sim,Quixadá torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Boa Viagem,-5.122413,-39.732217,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,275.0736,139.8218,135.2518,sim,nao,"Boa Viagem foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Quixeramobim,-5.190672,-39.288947,companhia,companhia,Russas,Quixadá,Quixeramobim,Quixeramobim,178.5842,43.3324,135.2518,sim,nao,Quixeramobim foi redistribuído de Russas para Quixadá por menor distância rodoviária real (43.3 km frente a 178.6 km) com ganho de 135.3 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Senador Pompeu,-5.582444,-39.370369,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,220.6352,96.6016,124.0336,sim,nao,Senador Pompeu foi redistribuído de Russas para Quixadá por menor distância rodoviária real (96.6 km frente a 220.6 km) com ganho de 124.0 km. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Mombaça,-5.738445,-39.63065,pelotao,pelotao,Juazeiro do Norte,Quixadá,Iguatu,Quixeramobim,240.0032,135.8129,104.1903,sim,nao,Mombaça foi redistribuído de Juazeiro do Norte para Quixadá por menor distância rodoviária real (135.8 km frente a 240.0 km) com ganho de 104.2 km. Subordinação sugerida à companhia Quixeramobim (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Itapipoca,-3.499333,-39.583645,cia_independente,batalhao,Sobral,Itapipoca,Itapipoca,Itapipoca,99.9409,0.0,99.9409,sim,sim,Itapipoca torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
ranking_ganhos,,,,,,,,,,,,,,,,,,,,,,Pentecoste,-3.792745,-39.269229,pelotao,pelotao,Sobral,Itapipoca,Itapipoca,Itapipoca,152.8301,61.2196,91.6105,sim,nao,Pentecoste foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (61.2 km frente a 152.8 km) com ganho de 91.6 km. Subordinação sugerida à companhia Itapipoca (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Crateús,-5.176437,-40.677893,cia_independente,batalhao,Juazeiro do Norte,Crateús,Crateús,Crateús,357.8986,0.0,357.8986,sim,sim,Crateús torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Nova Russas,-4.705687,-40.562136,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,419.6575,64.1869,355.4706,sim,nao,Nova Russas foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (64.2 km frente a 419.7 km) com ganho de 355.5 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Tamboril,-4.831364,-40.319593,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,420.7024,65.2319,355.4705,sim,nao,Tamboril foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (65.2 km frente a 420.7 km) com ganho de 355.5 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Ipueiras,-4.541938,-40.718247,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,441.5953,87.4527,354.1426,sim,nao,Ipueiras foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (87.5 km frente a 441.6 km) com ganho de 354.1 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Independência,-5.3963,-40.308586,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,331.1992,50.136,281.0632,sim,nao,Independência foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (50.1 km frente a 331.2 km) com ganho de 281.1 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Novo Oriente,-5.534036,-40.771316,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,313.2,44.3946,268.8054,sim,nao,Novo Oriente foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (44.4 km frente a 313.2 km) com ganho de 268.8 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Parambu,-6.211784,-40.694871,pelotao,pelotao,Juazeiro do Norte,Crateús,Tauá,Tauá,284.0325,137.5451,146.4874,sim,nao,Parambu foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (137.5 km frente a 284.0 km) com ganho de 146.5 km. Subordinação sugerida à companhia Tauá (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Pedra Branca,-5.454334,-39.715165,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,270.1844,126.4486,143.7358,sim,nao,"Pedra Branca foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Quixadá,-4.966301,-39.015474,cia_independente,batalhao,Russas,Quixadá,Quixadá,Quixadá,135.8695,0.0,135.8695,sim,sim,Quixadá torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Boa Viagem,-5.122413,-39.732217,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,275.0736,139.8218,135.2518,sim,nao,"Boa Viagem foi ajustado para Quixadá para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).",coerencia_territorial,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Quixeramobim,-5.190672,-39.288947,companhia,companhia,Russas,Quixadá,Quixeramobim,Quixeramobim,178.5842,43.3324,135.2518,sim,nao,Quixeramobim foi redistribuído de Russas para Quixadá por menor distância rodoviária real (43.3 km frente a 178.6 km) com ganho de 135.3 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Senador Pompeu,-5.582444,-39.370369,pelotao,pelotao,Russas,Quixadá,Quixeramobim,Quixeramobim,220.6352,96.6016,124.0336,sim,nao,Senador Pompeu foi redistribuído de Russas para Quixadá por menor distância rodoviária real (96.6 km frente a 220.6 km) com ganho de 124.0 km. Subordinação sugerida à companhia Quixeramobim (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Mombaça,-5.738445,-39.63065,pelotao,pelotao,Juazeiro do Norte,Quixadá,Iguatu,Quixeramobim,240.0032,135.8129,104.1903,sim,nao,Mombaça foi redistribuído de Juazeiro do Norte para Quixadá por menor distância rodoviária real (135.8 km frente a 240.0 km) com ganho de 104.2 km. Subordinação sugerida à companhia Quixeramobim (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Itapipoca,-3.499333,-39.583645,cia_independente,batalhao,Sobral,Itapipoca,Itapipoca,Itapipoca,99.9409,0.0,99.9409,sim,sim,Itapipoca torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True,,
ranking_sensiveis,,,,,,,,,,,,,,,,,,,,,,Pentecoste,-3.792745,-39.269229,pelotao,pelotao,Sobral,Itapipoca,Itapipoca,Itapipoca,152.8301,61.2196,91.6105,sim,nao,Pentecoste foi redistribuído de Sobral para Itapipoca por menor distância rodoviária real (61.2 km frente a 152.8 km) com ganho de 91.6 km. Subordinação sugerida à companhia Itapipoca (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True,,
