municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo
Canindé,-4.358796,-39.311762,companhia,companhia,Sobral,Quixadá,Canindé,Canindé,155.2756,98.1763,57.0993,sim,nao,Canindé foi redistribuído de Sobral para Quixadá por menor distância rodoviária real (98.2 km frente a 155.3 km) com ganho de 57.1 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True
Caririaçu,-7.042029,-39.28423,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Barbalha,Barbalha,27.7219,27.7219,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (27.7 km). Subordinação sugerida à companhia Barbalha (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Cascavel,-4.129666,-38.241178,pelotao,pelotao,Caucaia,Horizonte,Aquiraz,Pacajus,77.5324,33.1325,44.3999,sim,nao,Cascavel foi redistribuído de Caucaia para Horizonte por menor distância rodoviária real (33.1 km frente a 77.5 km) com ganho de 44.4 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Caucaia,-3.727966,-38.661931,batalhao,batalhao,Caucaia,Caucaia,Caucaia,Caucaia,0.0,0.0,0.0,nao,nao,Caucaia permanece como sede de batalhão fixo obrigatório.,batalhao_fixo_obrigatorio,sede_batalhao,estavel,False
Cedro,-6.600049,-39.06087,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Iguatu,Iguatu,99.7119,99.7119,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (99.7 km). Subordinação sugerida à companhia Iguatu (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Chorozinho,-4.28873,-38.498572,pelotao,pelotao,Caucaia,Horizonte,Horizonte,Horizonte,79.2568,25.2991,53.9577,sim,nao,Chorozinho foi redistribuído de Caucaia para Horizonte por menor distância rodoviária real (25.3 km frente a 79.3 km) com ganho de 54.0 km. Subordinação sugerida à companhia Horizonte (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Crateús,-5.176437,-40.677893,cia_independente,batalhao,Juazeiro do Norte,Crateús,Crateús,Crateús,357.8986,0.0,357.8986,sim,sim,Crateús torna-se sede de batalhão promovido obrigatório.,batalhao_promovido_obrigatorio,sede_batalhao,forte_ganho,True
Crato,-7.23114,-39.41071,companhia,companhia,Juazeiro do Norte,Juazeiro do Norte,Crato,Crato,12.1555,12.1555,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (12.2 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Cruz,-2.918137,-40.17514,pelotao,pelotao,Sobral,Sobral,Acaraú,Acaraú,113.2824,113.2824,0.0,nao,nao,Cruz foi mantido em Sobral por estabilidade estrutural; a diferença para Itapipoca ficou dentro da margem configurada de 15.0 km. Subordinação sugerida à companhia Acaraú (companhia_mantida_por_estabilidade).,margem_estabilidade,companhia_mantida_por_estabilidade,estavel,False
Eusébio,-3.892501,-38.455875,companhia,companhia,Caucaia,Caucaia,Eusébio,Eusébio,39.4418,39.4418,0.0,nao,nao,A alocação atual em Caucaia já é a mais eficiente em distância rodoviária real (39.4 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Forquilha,-3.799445,-40.263733,pelotao,pelotao,Sobral,Sobral,Sobral,Sobral,17.8037,17.8037,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (17.8 km). Subordinação sugerida à companhia Sobral (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Granja,-3.120289,-40.826804,pelotao,pelotao,Sobral,Sobral,Camocim,Camocim,98.7474,98.7474,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (98.7 km). Subordinação sugerida à companhia Camocim (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Guaiúba,-4.040571,-38.640372,pelotao,pelotao,Caucaia,Caucaia,Maranguape,Pacatuba,43.4829,43.4829,0.0,nao,nao,Guaiúba foi mantido em Caucaia por estabilidade estrutural; a diferença para Horizonte ficou dentro da margem configurada de 15.0 km. Subordinação sugerida à companhia Pacatuba (companhia_mais_proxima_por_distancia_rodoviaria).,margem_estabilidade,companhia_mais_proxima_por_distancia_rodoviaria,estavel,False
Guaraciaba do Norte,-4.166942,-40.747498,pelotao,pelotao,Sobral,Sobral,Tianguá,Ipu,94.8532,94.8532,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (94.9 km). Subordinação sugerida à companhia Ipu (companhia_mais_proxima_por_distancia_rodoviaria).,estrutura_atual_ja_eficiente,companhia_mais_proxima_por_distancia_rodoviaria,estavel,False
Horizonte,-4.120896,-38.470674,companhia,batalhao,Caucaia,Horizonte,Horizonte,Horizonte,61.0748,0.0,61.0748,sim,sim,Horizonte foi selecionado como novo polo metropolitano do cenário.,novo_batalhao_metropolitano,sede_batalhao,forte_ganho,True
Ibiapina,-3.924003,-40.889523,pelotao,pelotao,Sobral,Sobral,Tianguá,Tianguá,74.4947,74.4947,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (74.5 km). Subordinação sugerida à companhia Tianguá (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Icapuí,-4.712783,-37.355437,pelotao,pelotao,Russas,Russas,Aracati,Aracati,119.0402,119.0402,0.0,nao,nao,A alocação atual em Russas já é a mais eficiente em distância rodoviária real (119.0 km). Subordinação sugerida à companhia Aracati (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Icó,-6.405281,-38.861938,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Iguatu,Iguatu,149.2648,149.2648,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (149.3 km). Subordinação sugerida à companhia Iguatu (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Iguatu,-6.362805,-39.298236,companhia,companhia,Juazeiro do Norte,Juazeiro do Norte,Iguatu,Iguatu,153.9962,153.9962,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (154.0 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,atencao_logistica,False
