municipio,latitude,longitude,status_atual,status_sugerido,batalhao_atual,batalhao_sugerido,companhia_atual,companhia_sugerida,distancia_rodoviaria_ao_batalhao_atual_km,distancia_rodoviaria_ao_batalhao_sugerido_km,ganho_km,mudar_batalhao,mudar_status,justificativa_tecnica,criterio_batalhao,criterio_companhia,classificacao_analitica,ganho_significativo
Massapê,-3.522294,-40.341098,pelotao,pelotao,Sobral,Sobral,Sobral,Sobral,20.1288,20.1288,0.0,nao,nao,A alocação atual em Sobral já é a mais eficiente em distância rodoviária real (20.1 km). Subordinação sugerida à companhia Sobral (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Mauriti,-7.385697,-38.773867,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Brejo Santo,Brejo Santo,73.2229,73.2229,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (73.2 km). Subordinação sugerida à companhia Brejo Santo (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Milagres,-7.305949,-38.937858,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Brejo Santo,Brejo Santo,50.3546,50.3546,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (50.4 km). Subordinação sugerida à companhia Brejo Santo (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Missão Velha,-7.244638,-39.143057,pelotao,pelotao,Juazeiro do Norte,Juazeiro do Norte,Barbalha,Barbalha,24.0552,24.0552,0.0,nao,nao,A alocação atual em Juazeiro do Norte já é a mais eficiente em distância rodoviária real (24.1 km). Subordinação sugerida à companhia Barbalha (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Mombaça,-5.738445,-39.63065,pelotao,pelotao,Juazeiro do Norte,Quixadá,Iguatu,Quixeramobim,240.0032,135.8129,104.1903,sim,nao,Mombaça foi redistribuído de Juazeiro do Norte para Quixadá por menor distância rodoviária real (135.8 km frente a 240.0 km) com ganho de 104.2 km. Subordinação sugerida à companhia Quixeramobim (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Morada Nova,-5.09736,-38.370158,pelotao,pelotao,Russas,Russas,Limoeiro do Norte,Limoeiro do Norte,57.1698,57.1698,0.0,nao,nao,A alocação atual em Russas já é a mais eficiente em distância rodoviária real (57.2 km). Subordinação sugerida à companhia Limoeiro do Norte (companhia_mantida_por_estabilidade).,estrutura_atual_ja_eficiente,companhia_mantida_por_estabilidade,estavel,False
Nova Russas,-4.705687,-40.562136,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,419.6575,64.1869,355.4706,sim,nao,Nova Russas foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (64.2 km frente a 419.7 km) com ganho de 355.5 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Novo Oriente,-5.534036,-40.771316,pelotao,pelotao,Juazeiro do Norte,Crateús,Crateús,Crateús,313.2,44.3946,268.8054,sim,nao,Novo Oriente foi redistribuído de Juazeiro do Norte para Crateús por menor distância rodoviária real (44.4 km frente a 313.2 km) com ganho de 268.8 km. Subordinação sugerida à companhia Crateús (companhia_mantida_por_estabilidade).,menor_distancia_rodoviaria,companhia_mantida_por_estabilidade,forte_ganho,True
Ocara,-4.490135,-38.596978,pelotao,pelotao,Russas,Horizonte,Quixadá,Pacajus,108.7046,58.0371,50.6675,sim,nao,Ocara foi redistribuído de Russas para Horizonte por menor distância rodoviária real (58.0 km frente a 108.7 km) com ganho de 50.7 km. Subordinação sugerida à companhia Pacajus (companhia_mais_proxima_por_distancia_rodoviaria).,menor_distancia_rodoviaria,companhia_mais_proxima_por_distancia_rodoviaria,forte_ganho,True
Pacajus,-4.171073,-38.464988,companhia,companhia,Caucaia,Horizonte,Pacajus,Pacajus,64.4139,10.4562,53.9577,sim,nao,Pacajus foi redistribuído de Caucaia para Horizonte por menor distância rodoviária real (10.5 km frente a 64.4 km) com ganho de 54.0 km.,menor_distancia_rodoviaria,municipio_definido_como_companhia,forte_ganho,True
Pacatuba,-3.978396,-38.618296,companhia,companhia,Caucaia,Caucaia,Pacatuba,Pacatuba,35.1958,35.1958,0.0,nao,nao,A alocação atual em Caucaia já é a mais eficiente em distância rodoviária real (35.2 km).,estrutura_atual_ja_eficiente,municipio_definido_como_companhia,estavel,False
Paracuru,-3.41436,-39.030028,pelotao,pelotao,Caucaia,Itapipoca,São Gonçalo do Amarante,Paraipaba,74.1255,75.1196,-0.9941,sim,nao,"Paracuru foi ajustado para Itapipoca para evitar fragmentação territorial, com desempenho técnico dentro de 10.0 km do melhor concorrente. Subordinação sugerida à companhia Paraipaba (companhia_mais_proxima_por_distancia_rodoviaria).",coerencia_territorial,companhia_mais_proxima_por_distancia_rodoviaria,redistribuido,False
Paraipaba,-3.437987,-39.147868,pelotao,companhia,Caucaia,Itapipoca,São Gonçalo do Amarante,Paraipaba,78.6027,59.3751,19.2276,sim,sim,Paraipaba foi redistribuído de Caucaia para Itapipoca por menor distância rodoviária real (59.4 km frente a 78.6 km) com ganho de 19.2 km. Município promovido a companhia para reduzir dispersão interna de Itapipoca com base na centralidade rodoviária.,menor_distancia_rodoviaria,municipio_definido_como_companhia,redistribuido,False
