municipio_origem,municipio_destino,destino_eh_batalhao_candidato,distance_km,duration_min
Acopiara,Guaraciaba do Norte,False,346.6566,339.986667
Acopiara,Horizonte,True,299.2925,325.933333
Acopiara,Ibiapina,False,383.3674,374.561667
Acopiara,Icapuí,False,370.1025,356.216667
Acopiara,Icó,False,91.3275,90.476667
Acopiara,Iguatu,False,38.375,41.06
Acopiara,Independência,False,165.0237,170.038333
Acopiara,Ipu,False,321.8951,316.991667
Acopiara,Ipueiras,False,296.5697,292.965
Acopiara,Itaitinga,False,315.1225,330.345
Acopiara,Itapajé,False,364.9229,382.281667
Acopiara,Itapipoca,True,395.5713,415.85
Acopiara,Itarema,False,467.512,493.348333
Acopiara,Jaguaribe,False,160.057,142.568333
Acopiara,Jaguaruana,False,297.0658,288.618333
Acopiara,Jardim,False,240.4689,216.331667
Acopiara,Juazeiro do Norte,True,192.3033,168.418333
Acopiara,Lavras da Mangabeira,False,130.5954,124.295
Acopiara,Limoeiro do Norte,False,238.4561,235.75
Acopiara,Maracanaú,False,323.4789,336.376667
Acopiara,Maranguape,False,325.6373,338.656667
Acopiara,Marco,False,430.7662,453.681667
Acopiara,Massapê,False,373.3677,402.426667
Acopiara,Mauriti,False,221.8175,192.418333
Acopiara,Milagres,False,209.2543,180.243333
Acopiara,Missão Velha,False,213.8264,188.808333
Acopiara,Mombaça,False,48.3555,53.578333
Acopiara,Morada Nova,False,202.3138,199.366667
Acopiara,Nova Russas,False,273.9069,271.481667
Acopiara,Novo Oriente,False,213.0003,218.151667
Acopiara,Ocara,False,249.184,266.513333
Acopiara,Pacajus,False,288.9768,303.425
Acopiara,Pacatuba,False,309.6856,324.961667
Acopiara,Paracuru,False,397.4543,406.82
Acopiara,Paraipaba,False,401.8628,411.77
Acopiara,Parambu,False,183.8222,181.505
Acopiara,Pedra Branca,False,92.6016,102.71
Acopiara,Pentecoste,False,346.7348,359.291667
Acopiara,Quixadá,True,174.6029,193.035
Acopiara,Quixeramobim,False,132.6602,150.38
Acopiara,Redenção,False,279.5541,306.546667
Acopiara,Russas,True,256.4653,251.901667
Acopiara,Santa Quitéria,False,265.7936,290.881667
Acopiara,Santana do Acaraú,False,379.963,407.126667
Acopiara,Senador Pompeu,False,78.2043,88.911667
Acopiara,Sobral,True,352.0231,382.175
Acopiara,São Benedito,False,369.0769,362.671667
Acopiara,São Gonçalo do Amarante,False,381.7096,384.74
Acopiara,Tabuleiro do Norte,False,229.7138,224.675
Acopiara,Tamboril,False,240.3173,263.455
Acopiara,Tauá,False,124.024,136.371667
Acopiara,Tianguá,False,409.2579,399.173333
Acopiara,Trairi,False,410.8603,443.571667
Acopiara,Ubajara,False,392.9527,384.343333
Acopiara,Viçosa do Ceará,False,440.2544,420.681667
Acopiara,Várzea Alegre,False,98.2777,106.02
Amontada,Acaraú,False,75.535,71.095
Amontada,Acopiara,False,426.5196,443.646667
Amontada,Amontada,False,0.0,0.0
Amontada,Aquiraz,False,187.6206,181.66
Amontada,Aracati,False,307.1052,290.445
Amontada,Aracoiaba,False,231.0024,211.565
Amontada,Aurora,False,620.0746,547.615
Amontada,Barbalha,False,694.6896,595.856667
Amontada,Baturité,False,242.9315,224.215
Amontada,Beberibe,False,240.9143,233.178333
Amontada,Bela Cruz,False,63.568,61.128333
Amontada,Boa Viagem,False,291.9209,296.605
Amontada,Brejo Santo,False,674.407,580.216667
Amontada,Camocim,False,190.4321,176.738333
Amontada,Campos Sales,False,602.4516,554.971667
Amontada,Canindé,False,190.206,200.241667
Amontada,Caririaçu,False,656.0818,562.2
Amontada,Cascavel,False,220.1767,213.581667
Amontada,Caucaia,True,151.6414,144.785
Amontada,Cedro,False,536.4188,507.601667
Amontada,Chorozinho,False,223.5803,216.195
Amontada,Crateús,True,295.5239,279.673333
Amontada,Crato,False,694.6503,591.071667
Amontada,Cruz,False,80.6498,75.913333
Amontada,Eusébio,True,180.2083,172.423333
Amontada,Forquilha,False,90.5939,85.068333
Amontada,Fortaleza,False,166.5689,162.796667
Amontada,Granja,False,163.9444,154.261667
